doi,title,authors,published_date,volume,issue,page,article_number,citation_count,publisher,abstract,author_details,collection_timestamp,created_date,crossref_subtype,crossref_type,data_source,first_page,issn_list,journal,language,last_page,license_info,publication_year,subject_areas,updated_date
10.1038/ncomms1136,Sex-specific timing of meiotic initiation is regulated by Cyp26b1 independent of retinoic acid signalling,Sandeep Kumar; Christina Chatzi; Thomas Brade; Thomas J. Cunningham; Xianling Zhao; Gregg Duester,2011-01-11,2,1,,151,119,Springer Science and Business Media LLC,,"{'given': 'Sandeep', 'family': 'Kumar', 'orcid': '', 'full_name': 'Sandeep Kumar'}; {'given': 'Christina', 'family': 'Chatzi', 'orcid': '', 'full_name': 'Christina Chatzi'}; {'given': 'Thomas', 'family': 'Brade', 'orcid': '', 'full_name': 'Thomas Brade'}; {'given': 'Thomas J.', 'family': 'Cunningham', 'orcid': '', 'full_name': 'Thomas J. Cunningham'}; {'given': 'Xianling', 'family': 'Zhao', 'orcid': '', 'full_name': 'Xianling Zhao'}; {'given': 'Gregg', 'family': 'Duester', 'orcid': '', 'full_name': 'Gregg Duester'}",2025-11-02T07:28:01.293695,2011-01-11T11:34:23Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}",2011,,2023-01-06T01:06:57Z
10.1038/ncomms1155,Neural stem and progenitor cells shorten S-phase on commitment to neuron production,Yoko Arai; Jeremy N. Pulvers; Christiane Haffner; Britta Schilling; Ina Nüsslein; Federico Calegari; Wieland B. Huttner,2011-01-11,2,1,,154,338,Springer Science and Business Media LLC,,"{'given': 'Yoko', 'family': 'Arai', 'orcid': '', 'full_name': 'Yoko Arai'}; {'given': 'Jeremy N.', 'family': 'Pulvers', 'orcid': '', 'full_name': 'Jeremy N. Pulvers'}; {'given': 'Christiane', 'family': 'Haffner', 'orcid': '', 'full_name': 'Christiane Haffner'}; {'given': 'Britta', 'family': 'Schilling', 'orcid': '', 'full_name': 'Britta Schilling'}; {'given': 'Ina', 'family': 'Nüsslein', 'orcid': '', 'full_name': 'Ina Nüsslein'}; {'given': 'Federico', 'family': 'Calegari', 'orcid': '', 'full_name': 'Federico Calegari'}; {'given': 'Wieland B.', 'family': 'Huttner', 'orcid': '', 'full_name': 'Wieland B. Huttner'}",2025-11-02T07:28:01.293762,2011-01-11T11:34:23Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}",2011,,2023-01-06T01:06:37Z
10.1038/ncomms1153,A novel gene required for male fertility and functional CATSPER channel formation in spermatozoa,Jean-Ju Chung; Betsy Navarro; Grigory Krapivinsky; Luba Krapivinsky; David E. Clapham,2011-01-11,2,1,,153,177,Springer Science and Business Media LLC,,"{'given': 'Jean-Ju', 'family': 'Chung', 'orcid': '', 'full_name': 'Jean-Ju Chung'}; {'given': 'Betsy', 'family': 'Navarro', 'orcid': '', 'full_name': 'Betsy Navarro'}; {'given': 'Grigory', 'family': 'Krapivinsky', 'orcid': '', 'full_name': 'Grigory Krapivinsky'}; {'given': 'Luba', 'family': 'Krapivinsky', 'orcid': '', 'full_name': 'Luba Krapivinsky'}; {'given': 'David E.', 'family': 'Clapham', 'orcid': '', 'full_name': 'David E. Clapham'}",2025-11-02T07:28:01.293840,2011-01-11T11:34:23Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}",2011,,2023-01-06T01:06:33Z
10.1038/ncomms1152,Insertion sequence-excision enhancer removes transposable elements from bacterial genomes and induces various genomic deletions,Masahiro Kusumoto; Tadasuke Ooka; Yoshiaki Nishiya; Yoshitoshi Ogura; Takashi Saito; Yasuhiko Sekine; Taketoshi Iwata; Masato Akiba; Tetsuya Hayashi,2011-01-11,2,1,,152,45,Springer Science and Business Media LLC,,"{'given': 'Masahiro', 'family': 'Kusumoto', 'orcid': '', 'full_name': 'Masahiro Kusumoto'}; {'given': 'Tadasuke', 'family': 'Ooka', 'orcid': '', 'full_name': 'Tadasuke Ooka'}; {'given': 'Yoshiaki', 'family': 'Nishiya', 'orcid': '', 'full_name': 'Yoshiaki Nishiya'}; {'given': 'Yoshitoshi', 'family': 'Ogura', 'orcid': '', 'full_name': 'Yoshitoshi Ogura'}; {'given': 'Takashi', 'family': 'Saito', 'orcid': '', 'full_name': 'Takashi Saito'}; {'given': 'Yasuhiko', 'family': 'Sekine', 'orcid': '', 'full_name': 'Yasuhiko Sekine'}; {'given': 'Taketoshi', 'family': 'Iwata', 'orcid': '', 'full_name': 'Taketoshi Iwata'}; {'given': 'Masato', 'family': 'Akiba', 'orcid': '', 'full_name': 'Masato Akiba'}; {'given': 'Tetsuya', 'family': 'Hayashi', 'orcid': '', 'full_name': 'Tetsuya Hayashi'}",2025-11-02T07:28:01.293887,2011-01-11T11:34:23Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}",2011,,2023-01-06T01:06:53Z
10.1038/ncomms1154,"Conformational rearrangement of gastric H+,K+-ATPase induced by an acid suppressant",Kazuhiro Abe; Kazutoshi Tani; Yoshinori Fujiyoshi,2011-01-11,2,1,,155,68,Springer Science and Business Media LLC,,"{'given': 'Kazuhiro', 'family': 'Abe', 'orcid': '', 'full_name': 'Kazuhiro Abe'}; {'given': 'Kazutoshi', 'family': 'Tani', 'orcid': '', 'full_name': 'Kazutoshi Tani'}; {'given': 'Yoshinori', 'family': 'Fujiyoshi', 'orcid': '', 'full_name': 'Yoshinori Fujiyoshi'}",2025-11-02T07:28:01.293921,2011-01-11T11:34:23Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 11]], 'date-time': '2011-01-11T00:00:00Z', 'timestamp': 1294704000000}}",2011,,2024-04-02T22:49:30Z
10.1038/ncomms1162,PAR2 absence completely rescues inflammation and ichthyosis caused by altered CAP1/Prss8 expression in mouse skin,Simona Frateschi; Eric Camerer; Giovanna Crisante; Sarah Rieser; Mathieu Membrez; Roch-Philippe Charles; Friedrich Beermann; Jean-Christophe Stehle; Bernadette Breiden; Konrad Sandhoff; Samuel Rotman; Marek Haftek; Anne Wilson; Stephan Ryser; Martin Steinhoff; Shaun R. Coughlin; Edith Hummler,2011-01-18,2,1,,161,100,Springer Science and Business Media LLC,,"{'given': 'Simona', 'family': 'Frateschi', 'orcid': '', 'full_name': 'Simona Frateschi'}; {'given': 'Eric', 'family': 'Camerer', 'orcid': '', 'full_name': 'Eric Camerer'}; {'given': 'Giovanna', 'family': 'Crisante', 'orcid': '', 'full_name': 'Giovanna Crisante'}; {'given': 'Sarah', 'family': 'Rieser', 'orcid': '', 'full_name': 'Sarah Rieser'}; {'given': 'Mathieu', 'family': 'Membrez', 'orcid': '', 'full_name': 'Mathieu Membrez'}; {'given': 'Roch-Philippe', 'family': 'Charles', 'orcid': '', 'full_name': 'Roch-Philippe Charles'}; {'given': 'Friedrich', 'family': 'Beermann', 'orcid': '', 'full_name': 'Friedrich Beermann'}; {'given': 'Jean-Christophe', 'family': 'Stehle', 'orcid': '', 'full_name': 'Jean-Christophe Stehle'}; {'given': 'Bernadette', 'family': 'Breiden', 'orcid': '', 'full_name': 'Bernadette Breiden'}; {'given': 'Konrad', 'family': 'Sandhoff', 'orcid': '', 'full_name': 'Konrad Sandhoff'}; {'given': 'Samuel', 'family': 'Rotman', 'orcid': '', 'full_name': 'Samuel Rotman'}; {'given': 'Marek', 'family': 'Haftek', 'orcid': '', 'full_name': 'Marek Haftek'}; {'given': 'Anne', 'family': 'Wilson', 'orcid': '', 'full_name': 'Anne Wilson'}; {'given': 'Stephan', 'family': 'Ryser', 'orcid': '', 'full_name': 'Stephan Ryser'}; {'given': 'Martin', 'family': 'Steinhoff', 'orcid': '', 'full_name': 'Martin Steinhoff'}; {'given': 'Shaun R.', 'family': 'Coughlin', 'orcid': '', 'full_name': 'Shaun R. Coughlin'}; {'given': 'Edith', 'family': 'Hummler', 'orcid': '', 'full_name': 'Edith Hummler'}",2025-11-02T07:28:01.293982,2011-01-18T11:20:59Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}",2011,,2023-01-06T01:06:09Z
10.1038/ncomms1157,Synthetic human cell fate regulation by protein-driven RNA switches,Hirohide Saito; Yoshihiko Fujita; Shunnichi Kashida; Karin Hayashi; Tan Inoue,2011-01-18,2,1,,160,76,Springer Science and Business Media LLC,,"{'given': 'Hirohide', 'family': 'Saito', 'orcid': '', 'full_name': 'Hirohide Saito'}; {'given': 'Yoshihiko', 'family': 'Fujita', 'orcid': '', 'full_name': 'Yoshihiko Fujita'}; {'given': 'Shunnichi', 'family': 'Kashida', 'orcid': '', 'full_name': 'Shunnichi Kashida'}; {'given': 'Karin', 'family': 'Hayashi', 'orcid': '', 'full_name': 'Karin Hayashi'}; {'given': 'Tan', 'family': 'Inoue', 'orcid': '', 'full_name': 'Tan Inoue'}",2025-11-02T07:28:01.294020,2011-01-18T11:20:59Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}",2011,,2023-01-06T01:06:31Z
10.1038/ncomms1158,Differential use of importin-α isoforms governs cell tropism and host adaptation of influenza virus,Gülsah Gabriel; Karin Klingel; Anna Otte; Swantje Thiele; Ben Hudjetz; Gökhan Arman-Kalcek; Martina Sauter; Tatiana Shmidt; Franziska Rother; Sigrid Baumgarte; Björn Keiner; Enno Hartmann; Michael Bader; George G. Brownlee; Ervin Fodor; Hans-Dieter Klenk,2011-01-18,2,1,,156,225,Springer Science and Business Media LLC,,"{'given': 'Gülsah', 'family': 'Gabriel', 'orcid': '', 'full_name': 'Gülsah Gabriel'}; {'given': 'Karin', 'family': 'Klingel', 'orcid': '', 'full_name': 'Karin Klingel'}; {'given': 'Anna', 'family': 'Otte', 'orcid': '', 'full_name': 'Anna Otte'}; {'given': 'Swantje', 'family': 'Thiele', 'orcid': '', 'full_name': 'Swantje Thiele'}; {'given': 'Ben', 'family': 'Hudjetz', 'orcid': '', 'full_name': 'Ben Hudjetz'}; {'given': 'Gökhan', 'family': 'Arman-Kalcek', 'orcid': '', 'full_name': 'Gökhan Arman-Kalcek'}; {'given': 'Martina', 'family': 'Sauter', 'orcid': '', 'full_name': 'Martina Sauter'}; {'given': 'Tatiana', 'family': 'Shmidt', 'orcid': '', 'full_name': 'Tatiana Shmidt'}; {'given': 'Franziska', 'family': 'Rother', 'orcid': '', 'full_name': 'Franziska Rother'}; {'given': 'Sigrid', 'family': 'Baumgarte', 'orcid': '', 'full_name': 'Sigrid Baumgarte'}; {'given': 'Björn', 'family': 'Keiner', 'orcid': '', 'full_name': 'Björn Keiner'}; {'given': 'Enno', 'family': 'Hartmann', 'orcid': '', 'full_name': 'Enno Hartmann'}; {'given': 'Michael', 'family': 'Bader', 'orcid': '', 'full_name': 'Michael Bader'}; {'given': 'George G.', 'family': 'Brownlee', 'orcid': '', 'full_name': 'George G. Brownlee'}; {'given': 'Ervin', 'family': 'Fodor', 'orcid': '', 'full_name': 'Ervin Fodor'}; {'given': 'Hans-Dieter', 'family': 'Klenk', 'orcid': '', 'full_name': 'Hans-Dieter Klenk'}",2025-11-02T07:28:01.294077,2011-01-18T11:20:59Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}",2011,,2023-01-06T01:06:29Z
10.1038/ncomms1159,Tumour-initiating stem-like cells in human prostate cancer exhibit increased NF-κB signalling,Vinagolu K. Rajasekhar; Lorenz Studer; William Gerald; Nicholas D. Socci; Howard I. Scher,2011-01-18,2,1,,162,219,Springer Science and Business Media LLC,,"{'given': 'Vinagolu K.', 'family': 'Rajasekhar', 'orcid': '', 'full_name': 'Vinagolu K. Rajasekhar'}; {'given': 'Lorenz', 'family': 'Studer', 'orcid': '', 'full_name': 'Lorenz Studer'}; {'given': 'William', 'family': 'Gerald', 'orcid': '', 'full_name': 'William Gerald'}; {'given': 'Nicholas D.', 'family': 'Socci', 'orcid': '', 'full_name': 'Nicholas D. Socci'}; {'given': 'Howard I.', 'family': 'Scher', 'orcid': '', 'full_name': 'Howard I. Scher'}",2025-11-02T07:28:01.294114,2011-01-18T11:20:59Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}",2011,,2023-01-06T01:05:51Z
10.1038/ncomms1156,Impact of the Mertz Glacier Tongue calving on dense water formation and export,Kazuya Kusahara; Hiroyasu Hasumi; Guy D. Williams,2011-01-18,2,1,,159,59,Springer Science and Business Media LLC,,"{'given': 'Kazuya', 'family': 'Kusahara', 'orcid': '', 'full_name': 'Kazuya Kusahara'}; {'given': 'Hiroyasu', 'family': 'Hasumi', 'orcid': '', 'full_name': 'Hiroyasu Hasumi'}; {'given': 'Guy D.', 'family': 'Williams', 'orcid': '', 'full_name': 'Guy D. Williams'}",2025-11-02T07:28:01.294148,2011-01-18T11:20:59Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2011, 1, 18]], 'date-time': '2011-01-18T00:00:00Z', 'timestamp': 1295308800000}}",2011,,2023-01-06T01:06:26Z
