Journal Name,Journal Key,ISSN,Publisher,Total Articles,Total Unique Authors,Mean Authors per Article,Std Dev Authors per Article,Unique Authors to Articles Ratio,Years Covered,First Year,Last Year
Scientific Reports,scientific_reports,2045-2322,Nature Publishing Group,266647,1082638,7.16,9.04,4.060191939155513,2011-2025,2011,2025
Nature Communications,nature_communications,2041-1723,Nature Publishing Group,79626,517728,12.38,32.42,6.501996835204581,2010-2025,2010,2025
BMC Public Health,bmc_public_health,1471-2458,BioMed Central,31022,137376,6.56,5.0,4.428341177229063,2001-2025,2001,2025
