doi,title,authors,published_date,volume,issue,page,article_number,citation_count,publisher,abstract,author_details,collection_timestamp,created_date,crossref_subtype,crossref_type,data_source,first_page,issn_list,journal,language,last_page,license_info,publication_year,subject_areas,updated_date
10.1038/ncomms1617,Photoswitchable gel assembly based on molecular recognition,Hiroyasu Yamaguchi; Yuichiro Kobayashi; Ryosuke Kobayashi; Yoshinori Takashima; Akihito Hashidzume; Akira Harada,2012-01-03,3,1,,603,425,Springer Science and Business Media LLC,,"{'given': 'Hiroyasu', 'family': 'Yamaguchi', 'orcid': '', 'full_name': 'Hiroyasu Yamaguchi'}; {'given': 'Yuichiro', 'family': 'Kobayashi', 'orcid': '', 'full_name': 'Yuichiro Kobayashi'}; {'given': 'Ryosuke', 'family': 'Kobayashi', 'orcid': '', 'full_name': 'Ryosuke Kobayashi'}; {'given': 'Yoshinori', 'family': 'Takashima', 'orcid': '', 'full_name': 'Yoshinori Takashima'}; {'given': 'Akihito', 'family': 'Hashidzume', 'orcid': '', 'full_name': 'Akihito Hashidzume'}; {'given': 'Akira', 'family': 'Harada', 'orcid': '', 'full_name': 'Akira Harada'}",2025-11-02T07:27:39.426991,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:02Z
10.1038/ncomms1611,Muscle-derived stem/progenitor cell dysfunction limits healthspan and lifespan in a murine progeria model,Mitra Lavasani; Andria R. Robinson; Aiping Lu; Minjung Song; Joseph M. Feduska; Bahar Ahani; Jeremy S. Tilstra; Chelsea H. Feldman; Paul D. Robbins; Laura J. Niedernhofer; Johnny Huard,2012-01-03,3,1,,608,186,Springer Science and Business Media LLC,,"{'given': 'Mitra', 'family': 'Lavasani', 'orcid': '', 'full_name': 'Mitra Lavasani'}; {'given': 'Andria R.', 'family': 'Robinson', 'orcid': '', 'full_name': 'Andria R. Robinson'}; {'given': 'Aiping', 'family': 'Lu', 'orcid': '', 'full_name': 'Aiping Lu'}; {'given': 'Minjung', 'family': 'Song', 'orcid': '', 'full_name': 'Minjung Song'}; {'given': 'Joseph M.', 'family': 'Feduska', 'orcid': '', 'full_name': 'Joseph M. Feduska'}; {'given': 'Bahar', 'family': 'Ahani', 'orcid': '', 'full_name': 'Bahar Ahani'}; {'given': 'Jeremy S.', 'family': 'Tilstra', 'orcid': '', 'full_name': 'Jeremy S. Tilstra'}; {'given': 'Chelsea H.', 'family': 'Feldman', 'orcid': '', 'full_name': 'Chelsea H. Feldman'}; {'given': 'Paul D.', 'family': 'Robbins', 'orcid': '', 'full_name': 'Paul D. Robbins'}; {'given': 'Laura J.', 'family': 'Niedernhofer', 'orcid': '', 'full_name': 'Laura J. Niedernhofer'}; {'given': 'Johnny', 'family': 'Huard', 'orcid': '', 'full_name': 'Johnny Huard'}",2025-11-02T07:27:39.427073,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:24Z
10.1038/ncomms1619,Approaching the ideal elastic limit of metallic glasses,Lin Tian; Yong-Qiang Cheng; Zhi-Wei Shan; Ju Li; Cheng-Cai Wang; Xiao-Dong Han; Jun Sun; Evan Ma,2012-01-03,3,1,,609,357,Springer Science and Business Media LLC,,"{'given': 'Lin', 'family': 'Tian', 'orcid': '', 'full_name': 'Lin Tian'}; {'given': 'Yong-Qiang', 'family': 'Cheng', 'orcid': '', 'full_name': 'Yong-Qiang Cheng'}; {'given': 'Zhi-Wei', 'family': 'Shan', 'orcid': '', 'full_name': 'Zhi-Wei Shan'}; {'given': 'Ju', 'family': 'Li', 'orcid': '', 'full_name': 'Ju Li'}; {'given': 'Cheng-Cai', 'family': 'Wang', 'orcid': '', 'full_name': 'Cheng-Cai Wang'}; {'given': 'Xiao-Dong', 'family': 'Han', 'orcid': '', 'full_name': 'Xiao-Dong Han'}; {'given': 'Jun', 'family': 'Sun', 'orcid': '', 'full_name': 'Jun Sun'}; {'given': 'Evan', 'family': 'Ma', 'orcid': '', 'full_name': 'Evan Ma'}",2025-11-02T07:27:39.427134,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:17Z
10.1038/ncomms1618,Metal-adeninate vertices for the construction of an exceptionally porous metal-organic framework,Jihyun An; Omar K. Farha; Joseph T. Hupp; Ehmke Pohl; Joanne I. Yeh; Nathaniel L. Rosi,2012-01-03,3,1,,604,388,Springer Science and Business Media LLC,,"{'given': 'Jihyun', 'family': 'An', 'orcid': '', 'full_name': 'Jihyun An'}; {'given': 'Omar K.', 'family': 'Farha', 'orcid': '', 'full_name': 'Omar K. Farha'}; {'given': 'Joseph T.', 'family': 'Hupp', 'orcid': '', 'full_name': 'Joseph T. Hupp'}; {'given': 'Ehmke', 'family': 'Pohl', 'orcid': '', 'full_name': 'Ehmke Pohl'}; {'given': 'Joanne I.', 'family': 'Yeh', 'orcid': '', 'full_name': 'Joanne I. Yeh'}; {'given': 'Nathaniel L.', 'family': 'Rosi', 'orcid': '', 'full_name': 'Nathaniel L. Rosi'}",2025-11-02T07:27:39.427183,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:04Z
10.1038/ncomms1621,Inhibition of specific gene expressions by protein-mediated mRNA interference,Yoshihiro Yamaguchi; Hirofumi Nariya; Jung-Ho Park; Masayori Inouye,2012-01-03,3,1,,607,44,Springer Science and Business Media LLC,,"{'given': 'Yoshihiro', 'family': 'Yamaguchi', 'orcid': '', 'full_name': 'Yoshihiro Yamaguchi'}; {'given': 'Hirofumi', 'family': 'Nariya', 'orcid': '', 'full_name': 'Hirofumi Nariya'}; {'given': 'Jung-Ho', 'family': 'Park', 'orcid': '', 'full_name': 'Jung-Ho Park'}; {'given': 'Masayori', 'family': 'Inouye', 'orcid': '', 'full_name': 'Masayori Inouye'}",2025-11-02T07:27:39.427227,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:48:54Z
10.1038/ncomms1612,Existence of long-lasting experience-dependent plasticity in endocrine cell networks,David J. Hodson; Marie Schaeffer; Nicola Romanò; Pierre Fontanaud; Chrystel Lafont; Jerome Birkenstock; François Molino; Helen Christian; Joe Lockey; Danielle Carmignac; Marta Fernandez-Fuente; Paul Le Tissier; Patrice Mollard,2012-01-03,3,1,,605,121,Springer Science and Business Media LLC,,"{'given': 'David J.', 'family': 'Hodson', 'orcid': '', 'full_name': 'David J. Hodson'}; {'given': 'Marie', 'family': 'Schaeffer', 'orcid': '', 'full_name': 'Marie Schaeffer'}; {'given': 'Nicola', 'family': 'Romanò', 'orcid': '', 'full_name': 'Nicola Romanò'}; {'given': 'Pierre', 'family': 'Fontanaud', 'orcid': '', 'full_name': 'Pierre Fontanaud'}; {'given': 'Chrystel', 'family': 'Lafont', 'orcid': '', 'full_name': 'Chrystel Lafont'}; {'given': 'Jerome', 'family': 'Birkenstock', 'orcid': '', 'full_name': 'Jerome Birkenstock'}; {'given': 'François', 'family': 'Molino', 'orcid': '', 'full_name': 'François Molino'}; {'given': 'Helen', 'family': 'Christian', 'orcid': '', 'full_name': 'Helen Christian'}; {'given': 'Joe', 'family': 'Lockey', 'orcid': '', 'full_name': 'Joe Lockey'}; {'given': 'Danielle', 'family': 'Carmignac', 'orcid': '', 'full_name': 'Danielle Carmignac'}; {'given': 'Marta', 'family': 'Fernandez-Fuente', 'orcid': '', 'full_name': 'Marta Fernandez-Fuente'}; {'given': 'Paul', 'family': 'Le Tissier', 'orcid': '', 'full_name': 'Paul Le Tissier'}; {'given': 'Patrice', 'family': 'Mollard', 'orcid': '', 'full_name': 'Patrice Mollard'}",2025-11-02T07:27:39.427289,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:08Z
10.1038/ncomms1613,Advantage of rare infanticide strategies in an invasion experiment of behavioural polymorphism,Tapio Mappes; Jouni Aspi; Esa Koskela; Suzanne C. Mills; Tanja Poikonen; Juha Tuomi,2012-01-03,3,1,,611,8,Springer Science and Business Media LLC,,"{'given': 'Tapio', 'family': 'Mappes', 'orcid': '', 'full_name': 'Tapio Mappes'}; {'given': 'Jouni', 'family': 'Aspi', 'orcid': '', 'full_name': 'Jouni Aspi'}; {'given': 'Esa', 'family': 'Koskela', 'orcid': '', 'full_name': 'Esa Koskela'}; {'given': 'Suzanne C.', 'family': 'Mills', 'orcid': '', 'full_name': 'Suzanne C. Mills'}; {'given': 'Tanja', 'family': 'Poikonen', 'orcid': '', 'full_name': 'Tanja Poikonen'}; {'given': 'Juha', 'family': 'Tuomi', 'orcid': '', 'full_name': 'Juha Tuomi'}",2025-11-02T07:27:39.427336,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:22Z
10.1038/ncomms1607,Structure-based mutagenesis reveals the albumin-binding site of the neonatal Fc receptor,Jan Terje Andersen; Bjørn Dalhus; Jason Cameron; Muluneh Bekele Daba; Andrew Plumridge; Leslie Evans; Stephan O. Brennan; Kristin Støen Gunnarsen; Magnar Bjørås; Darrell Sleep; Inger Sandlie,2012-01-03,3,1,,610,166,Springer Science and Business Media LLC,,"{'given': 'Jan Terje', 'family': 'Andersen', 'orcid': '', 'full_name': 'Jan Terje Andersen'}; {'given': 'Bjørn', 'family': 'Dalhus', 'orcid': '', 'full_name': 'Bjørn Dalhus'}; {'given': 'Jason', 'family': 'Cameron', 'orcid': '', 'full_name': 'Jason Cameron'}; {'given': 'Muluneh Bekele', 'family': 'Daba', 'orcid': '', 'full_name': 'Muluneh Bekele Daba'}; {'given': 'Andrew', 'family': 'Plumridge', 'orcid': '', 'full_name': 'Andrew Plumridge'}; {'given': 'Leslie', 'family': 'Evans', 'orcid': '', 'full_name': 'Leslie Evans'}; {'given': 'Stephan O.', 'family': 'Brennan', 'orcid': '', 'full_name': 'Stephan O. Brennan'}; {'given': 'Kristin Støen', 'family': 'Gunnarsen', 'orcid': '', 'full_name': 'Kristin Støen Gunnarsen'}; {'given': 'Magnar', 'family': 'Bjørås', 'orcid': '', 'full_name': 'Magnar Bjørås'}; {'given': 'Darrell', 'family': 'Sleep', 'orcid': '', 'full_name': 'Darrell Sleep'}; {'given': 'Inger', 'family': 'Sandlie', 'orcid': '', 'full_name': 'Inger Sandlie'}",2025-11-02T07:27:39.427396,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:30Z
10.1038/ncomms1620,Measurement of finite-frequency current statistics in a single-electron transistor,Niels Ubbelohde; Christian Fricke; Christian Flindt; Frank Hohls; Rolf J. Haug,2012-01-03,3,1,,612,143,Springer Science and Business Media LLC,,"{'given': 'Niels', 'family': 'Ubbelohde', 'orcid': '', 'full_name': 'Niels Ubbelohde'}; {'given': 'Christian', 'family': 'Fricke', 'orcid': '', 'full_name': 'Christian Fricke'}; {'given': 'Christian', 'family': 'Flindt', 'orcid': '', 'full_name': 'Christian Flindt'}; {'given': 'Frank', 'family': 'Hohls', 'orcid': '', 'full_name': 'Frank Hohls'}; {'given': 'Rolf J.', 'family': 'Haug', 'orcid': '', 'full_name': 'Rolf J. Haug'}",2025-11-02T07:27:39.427441,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:48:59Z
10.1038/ncomms1616,Synthetic quorum-sensing circuit to control consortial biofilm formation and dispersal in a microfluidic device,Seok Hoon Hong; Manjunath Hegde; Jeongyun Kim; Xiaoxue Wang; Arul Jayaraman; Thomas K. Wood,2012-01-03,3,1,,613,157,Springer Science and Business Media LLC,,"{'given': 'Seok Hoon', 'family': 'Hong', 'orcid': '', 'full_name': 'Seok Hoon Hong'}; {'given': 'Manjunath', 'family': 'Hegde', 'orcid': '', 'full_name': 'Manjunath Hegde'}; {'given': 'Jeongyun', 'family': 'Kim', 'orcid': '', 'full_name': 'Jeongyun Kim'}; {'given': 'Xiaoxue', 'family': 'Wang', 'orcid': '', 'full_name': 'Xiaoxue Wang'}; {'given': 'Arul', 'family': 'Jayaraman', 'orcid': '', 'full_name': 'Arul Jayaraman'}; {'given': 'Thomas K.', 'family': 'Wood', 'orcid': '', 'full_name': 'Thomas K. Wood'}",2025-11-02T07:27:39.427487,2012-01-03T08:59:37Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 3]], 'date-time': '2012-01-03T00:00:00Z', 'timestamp': 1325548800000}}",2012,,2023-01-06T00:49:50Z
